Employee Number,Decimal Number
208131,.00
208131,348.30
208131,438.18
208131,8.30
208178,226.78
208178,95.75
208178,56.30
208178,30.00
208178,353.35
208178,506.02
208178,56.30
208020,563.50
208020,476.29
208020,8.30
208020,144.00
208020,435.60
208020,133.70
208020,658.22
208020,32.30
207190,918.38
207190,.25
207190,40.00
207190,53.24
207190,560.09
207190,40.00
207481,168.36
207481,35.75
207481,56.30
207481,64.60
207481,12.90
207481,068.19
207481,56.30
208043,621.16
208043,450.25
208043,.00
208043,531.60
208043,516.00
208043,887.77
208043,45.60
208396,132.69
208396,294.50
208396,56.30
208396,16.60
208396,320.03
208396,786.40
208396,56.30
208044,180.74
208044,276.00
208044,16.30
208044,26.00
208044,212.85
208044,069.40
208044,.30
201723,361.05
201723,405.25
201723,56.30
201723,48.00
201723,516.00
201723,447.36
201723,56.30
207191,351.38
207191,8.50
207191,56.30
207191,14.20
207191,449.99
207191,56.30
208794,186.59
208794,156.75
208794,56.30
208794,64.00
208794,129.00
208794,512.66
208794,33.30
208179,321.91
208179,287.25
208179,56.30
208179,64.60
208179,14.20
208179,797.05
208179,56.30
207352,440.79
207352,310.00
207352,56.30
207352,112.60
207352,12.90
207352,245.85
207352,56.30
208795,161.67
208795,360.00
208795,56.30
208795,64.00
208795,475.37
208795,802.78
208795,8.30
209046,31.25
209046,.00
209046,.00
209046,.00
209046,.00
209046,33.73
207187,179.45
207187,396.50
207187,56.30
207187,112.60
207187,14.20
207187,613.06
207187,56.30
208911,83.88
208911,.50
208911,56.00
208911,.00
208911,150.94
208911,.00
208911,40.00
208911,40.00
207483,291.25
207483,60.50
207483,56.30
207483,112.60
207483,212.85
207483,588.56
207483,56.30
207484,332.75
207484,184.00
207484,56.30
207484,16.60
207484,14.20
207484,577.56
207484,56.30
208646,60.14
208646,81.00
208646,8.30
208646,45.50
208646,12.90
208646,161.33
208646,56.30
207280,859.81
207280,478.00
207280,.00
207280,90.30
207280,158.86
207280,.00
208134,353.78
208134,37.00
208134,56.30
208134,435.60
208134,70.94
208134,634.36
208134,44.30
207436,190.94
207436,95.25
207436,8.30
207436,64.60
207436,128.29
207436,594.70
207436,8.30
208957,122.28
208957,159.50
208957,40.00
208957,384.00
208957,297.90
208957,94.99
208957,40.00
207354,139.81
207354,20.25
207354,.30
207354,2.60
207354,90.89
207354,723.18
207354,.30
208048,705.29
208048,336.00
208048,56.30
208048,339.60
208048,17.35
208048,384.45
208048,56.30
207193,543.88
207193,479.62
207193,56.30
207193,25.60
207193,516.00
207193,733.88
207193,8.30
208495,291.41
208495,103.50
208495,56.30
208495,339.60
208495,463.69
208495,354.37
208495,56.30
208956,139.49
208956,314.62
208956,40.00
208956,148.35
208956,274.23
208956,40.00
208586,230.85
208586,.00
208586,.00
208586,141.33
208586,4.50
208586,16.00
208586,.00
208586,16.00
208586,241.00
208586,16.00
207278,879.95
207278,469.00
207278,8.30
207278,112.60
207278,14.02
207278,872.26
207278,8.30
207524,431.68
207524,479.37
